"name","icao","iata","coordinates","cityName","countryName","airport"
"Chlef International Airport","DAOI","CFQ","36.216944444444444 1.3399999999999999","Chlef",,"http://fr.dbpedia.org/resource/Aéroport_de_Chlef"
"Kulob Airport","UTDK","TJU","37.988333 69.805",,"Tajikistan","http://fr.dbpedia.org/resource/Aéroport_de_Kulob"
"Aldan Airport","UEEA","ADH","58.603056 125.406389",,,"http://fr.dbpedia.org/resource/Aéroport_d'Aldan"
"Ugolny Airport","UHMA","DYR","64.735 177.741667","Anadyr (town)",,"http://fr.dbpedia.org/resource/Aéroport_d'Ougolny"
"Chersky Airport","UESS","CYX","68.743333 161.336667","Chersky (settlement)",,"http://fr.dbpedia.org/resource/Aéroport_de_Tcherski"
"Mirny Airport","UERR","MJZ","62.534444 114.038889",,,"http://fr.dbpedia.org/resource/Aéroport_de_Mirny"
"Chulman Airport","UELL","CNN","56.913333 124.911667","Neryungri",,"http://fr.dbpedia.org/resource/Aéroport_de_Tchoulman"
"Petropavlovsk-Kamchatsky Airport","UHPP","PKC","53.166667 158.453611","Petropavlovsk-Kamchatsky",,"http://fr.dbpedia.org/resource/Aéroport_de_Petropavlovsk-Kamtchatski"
"Tiksi Airport","UEST","IKS","71.6975 128.902778","Tiksi",,"http://fr.dbpedia.org/resource/Aéroport_de_Tiksi"
"Bordj Mokhtar Airport","DATM","BMW","21.375 0.9238888888888889","Adrar, Algeria",,"http://fr.dbpedia.org/resource/Aéroport_de_Bordj_Mokhtar"
"Pamplona Airport","LEPP","PNA","42.769167 -1.644167","Pamplona",,"http://fr.dbpedia.org/resource/Aéroport_de_Pampelune"
,"LFKO","PRP","41.66027777777778 8.893888888888888","Propriano","France","http://fr.dbpedia.org/resource/Aérodrome_de_Propriano"
"Capital Region International Airport","KLAN","LAN","42.778639 -84.586194","Lansing, Michigan",,"http://fr.dbpedia.org/resource/Aéroport_de_Lansing_(Michigan)"
"Khasab Airport","OOKB","KHS","26.17098611 56.24056944","Khasab",,"http://fr.dbpedia.org/resource/Aéroport_de_Khasab"
"Peretola Airport","LIRQ","FLR","43.4835 11.1214","Florence","Italy","http://fr.dbpedia.org/resource/Aéroport_de_Florence-Peretola"
"Kugluktuk Airport","CYCO","YCO","67.81667 -115.14389","Kugluktuk","Canada","http://fr.dbpedia.org/resource/Aéroport_de_Kugluktuk"
"Batajnica Air Base","LYBT","BJY","44.935299 20.2575","Belgrade",,"http://fr.dbpedia.org/resource/Base_aérienne_de_Batajnica"
"Sendai Airport","RJSS","SDJ","38.139722 140.916944","Sendai",,"http://fr.dbpedia.org/resource/Aéroport_de_Sendai"
,"LETO","TOJ","40.496667 -3.445833",,"Spain","http://fr.dbpedia.org/resource/Base_aérienne_de_Torrejón_de_Ardoz"
"Cyril E. King Airport","TIST","STT","18.337222 -64.973333","Charlotte Amalie, United States Virgin Islands",,"http://fr.dbpedia.org/resource/Aéroport_international_Cyril_E._King"
"Federico Fellini Airport","LIPR","RMI","44.0203481 12.614193","San Marino",,"http://fr.dbpedia.org/resource/Aéroport_Federico_Fellini"
"Federico Fellini Airport","LIPR","RMI","44.0203481 12.614193","Rimini",,"http://fr.dbpedia.org/resource/Aéroport_Federico_Fellini"
"Newport State Airport (Rhode Island)","KUUU","NPT","41.5325 -71.281667","Middletown, Rhode Island","United States","http://fr.dbpedia.org/resource/Aéroport_de_Newport_State"
"Cap. FAP Carlos Martínez de Pinillos International Airport","SPRU","TRU","-8.081411 -79.108761","Trujillo, Peru","Peru","http://fr.dbpedia.org/resource/Aéroport_international_Capitán_FAP_Carlos_Martinez_de_Pinillos"
"El Trompillo Airport","SLET","SRZ","-17.811389 -63.171389","Santa Cruz de la Sierra","Bolivia","http://fr.dbpedia.org/resource/Aéroport_El_Trompillo"
"Sisimiut Airport","BGSS","JHS","66.951389 -53.729444","Sisimiut","Greenland","http://fr.dbpedia.org/resource/Aéroport_de_Sisimiut"
,"SLCA","CAM","-20.007145 -63.527541","Camiri","Bolivia","http://fr.dbpedia.org/resource/Aéroport_de_Camiri"
,"SLTR","TDD","-14.820026 -64.916668","Trinidad, Bolivia","Bolivia","http://fr.dbpedia.org/resource/Aéroport_Teniente_Jorge_Henrich_Arauz"
,"SLSA","SBL","-13.763646 -65.433712","Santa Ana del Yacuma","Bolivia","http://fr.dbpedia.org/resource/Aéroport_José_Chávez_Suárez"
"Santa Ana del Yacuma Airport","SLSA","SBL","-13.744444 -65.426944","Santa Ana del Yacuma","Bolivia","http://fr.dbpedia.org/resource/Aéroport_de_Santa_Ana_del_Yacuma"
"Guayaramerín Airport","SLGY","GYA","-10.821667 -65.345833","Guayaramerín","Bolivia","http://fr.dbpedia.org/resource/Aéroport_Capitán_de_Av._Emilio_Beltrán"
"Captain Aníbal Arab Airport","SLCO","CIJ","-11.040556 -68.783056","Cobija","Bolivia","http://fr.dbpedia.org/resource/Aéroport_Capitán_Aníbal_Arab"
,"SLOR","ORU","-17.962589 -67.076236","Oruro, Bolivia","Bolivia","http://fr.dbpedia.org/resource/Aéroport_international_Juan_Mendoza"
"Captain Nicolas Rojas Airport","SLPO","POI","-19.543056 -65.723611","Potosí",,"http://fr.dbpedia.org/resource/Aéroport_Capitán_Nicolás_Rojas"
"Juana Azurduy de Padilla International Airport","SLSU","SRE","-19.006944 -65.288889","Sugar","Bolivia","http://fr.dbpedia.org/resource/Aéroport_Juana_Azurduy_de_Padilla"
"Henry E. Rohlsen Airport","TISX","STX","17.701667 -64.801667","Christiansted, United States Virgin Islands",,"http://fr.dbpedia.org/resource/Aéroport_international_Henry_E._Rohlsen"
,"DAOR","CBH","31.650569444444443 -2.253152777777778","Béchar",,"http://fr.dbpedia.org/resource/Aéroport_de_Béchar_-_Boudghene_Ben_Ali_Lotfi"
,"DAUG","GHA","32.38166666666667 3.799444444444444","Ghardaïa",,"http://fr.dbpedia.org/resource/Aéroport_de_Ghardaïa_-_Noumérat_-_Moufdi_Zakaria"
"Puerto Suárez International Airport","SLPS","PSZ","-18.975278 -57.820556","Puerto Suárez","Bolivia","http://fr.dbpedia.org/resource/Aéroport_international_de_Puerto_Suárez"
"Riberalta Airport","SLRI","RIB","-11.016667 -66.116667","Riberalta","Bolivia","http://fr.dbpedia.org/resource/Aéroport_de_Riberalta"
"Rurrenabaque Airport","SLRQ","RBQ","-14.4275 -67.498056","Rurrenabaque",,"http://fr.dbpedia.org/resource/Aéroport_de_Rurrenabaque"
"Capitán Germán Quiroga Guardia Airport","SLSB","SRJ","-14.866667 -66.75",,,"http://fr.dbpedia.org/resource/Aéroport_Capitán_Germán_Quiroga_Guardia"
,"DAUO","ELU","33.51305555555555 6.7825","El Oued",,"http://fr.dbpedia.org/resource/Aéroport_d'El_Oued_-_Guemar"
,"DATG","INF","19.56888888888889 5.748888888888889","In Guezzam",,"http://fr.dbpedia.org/resource/Aéroport_d'In_Guezzam"
,"DAUI","INZ","27.253611111111113 2.5108333333333333","In Salah",,"http://fr.dbpedia.org/resource/Aéroport_d'In_Salah"
,"DABS","TEE","35.43263611111111 8.1256","Tébessa",,"http://fr.dbpedia.org/resource/Aéroport_de_Tébessa_-_Cheikh_Larbi_Tébessi"
,"DAUU","OGX","31.93138888888889 5.406666666666667","Ouargla",,"http://fr.dbpedia.org/resource/Aéroport_d'Ouargla_-_Ain_Beida"
,"DAUL","LOO","33.76444444444444 2.9283333333333332","Laghouat",,"http://fr.dbpedia.org/resource/Aéroport_de_Laghouat"
,"DAOB","TID","35.34138888888889 1.4669444444444446","Tiaret",,"http://fr.dbpedia.org/resource/Aéroport_de_Tiaret_-_Abdelhafid_Boussouf_Bou_Chekif"
,"DAOV","MUW","35.216944444444444 0.14833333333333332","Mascara, Algeria",,"http://fr.dbpedia.org/resource/Aéroport_de_Ghriss"
,"DAAY","MZW","33.531808 -0.256226","Naâma",,"http://fr.dbpedia.org/resource/Aéroport_de_Mecheria"
,"DAUT","TMX","29.241111111111113 0.2836111111111111","Timimoun","Algeria","http://fr.dbpedia.org/resource/Aéroport_de_Timimoun"
,"DAFH","HRM","32.930278 3.311389",,,"http://fr.dbpedia.org/resource/Aéroport_d'Hassi_R'Mel_-_Tilrhemt"
,"DAUE","ELG","30.56888888888889 2.8647222222222224","El Goléa",,"http://fr.dbpedia.org/resource/Aéroport_d'El_Goléa"
,"DAUK","TGR","33.059999999999995 6.087222222222222","Touggourt",,"http://fr.dbpedia.org/resource/Aéroport_de_Touggourt_-_Sidi_Mahdi"
"Troyes – Barberey Airport","LFQB","QYR","48.321666666666665 4.016666666666667","Troyes","France","http://fr.dbpedia.org/resource/Aéroport_de_Troyes_-_Barberey"
,"LFRZ","SNR","47.3105 -2.1568","Saint-Nazaire",,"http://fr.dbpedia.org/resource/Aéroport_de_Saint-Nazaire_-_Montoir"
"Pakse International Airport","VLKZ","PKZ","15.13389 105.78195","Pakse",,"http://fr.dbpedia.org/resource/Aéroport_de_Paksé"
"King Fahd International Airport","OEDF","DMM","26.4841258 49.7988797",,,"http://fr.dbpedia.org/resource/Aéroport_international_du_roi_Fahd"
"Lafayette Regional Airport","KLFT","LFT","30.205278 -91.9875","Lafayette, Louisiana",,"http://fr.dbpedia.org/resource/Aéroport_régional_de_Lafayette"
"Cambridge Bay Airport","CYCB","YCB","69.108056 -105.137222",,"Canada","http://fr.dbpedia.org/resource/Aéroport_de_Cambridge_Bay"
"Genoa Cristoforo Colombo Airport","LIMJ","GOA","44.413333 8.8375","Genoa",,"http://fr.dbpedia.org/resource/Aéroport_de_Gênes-Christophe_Colomb"
"Parma Airport","LIMP","PMF","44.822222 10.295278","Parma",,"http://fr.dbpedia.org/resource/Aéroport_de_Parme"
,"FMSZ","WAK","-22.294 44.51","Ankazoabo","Madagascar","http://fr.dbpedia.org/resource/Aéroport_d'Ankazoabo"
,"LEAB","ABC","38.5648 -1.514866",,,"http://fr.dbpedia.org/resource/Base_aérienne_de_Los_Llanos"
"Gothenburg City Airport","ESGP","GSE","57.775556 11.870556","Gothenburg","Sweden","http://fr.dbpedia.org/resource/Aéroport_de_Göteborg_City"
"Umeå Airport","ESNU","UME","63.791944 20.282778","Umeå","Sweden","http://fr.dbpedia.org/resource/Aéroport_d'Umeå"
"Ras Al Khaimah International Airport","OMRK","RKT","25.6 55.43",,"United Arab Emirates","http://fr.dbpedia.org/resource/Aéroport_international_de_Ras_Al_Khaimah"
"Sioux Lookout Airport","CYXL","YXL","50.114167 -91.905556","Sioux Lookout","Canada","http://fr.dbpedia.org/resource/Aéroport_de_Sioux_Lookout"
"Goma International Airport","FZNA","GOM","-1.67 29.2375","Goma","Democratic Republic of the Congo","http://fr.dbpedia.org/resource/Aéroport_international_de_Goma"
,"LFOV","LVA","48.032222222222224 -0.7427777777777779","Laval, Mayenne","France","http://fr.dbpedia.org/resource/Aéroport_de_Laval_-_Entrammes"
,"MYNN","NAS","25.0423708 -77.4680328","Nassau, Bahamas","The Bahamas","http://fr.dbpedia.org/resource/Aéroport_international_Lynden_Pindling"
"Perugia San Francesco d'Assisi – Umbria International Airport","LIRZ","PEG","43.096944444444446 12.511388888888888",,,"http://fr.dbpedia.org/resource/Aéroport_de_Pérouse-Sant'Egidio"
,"LFHU","AHZ","45.0875 6.083611111111111",,,"http://fr.dbpedia.org/resource/Altiport_de_l'Alpe_d'Huez"
"Lic. Adolfo López Mateos International Airport","MMTO","TLC","19.34 -99.56","Toluca","Mexico","http://fr.dbpedia.org/resource/Aéroport_international_Adolfo_López_Mateos"
"Morón Air Base","LEMO","OZP","37.1029 -5.3657",,"Spain","http://fr.dbpedia.org/resource/Base_aérienne_de_Morón"
"Zaragoza Airport","LEZG","ZAZ","41.666111 -1.041667","Zaragoza","Spain","http://fr.dbpedia.org/resource/Aéroport_de_Saragosse"
"Antonio José de Sucre Airport","SVCU","CUM","10.4497 -64.1315",,"Venezuela","http://fr.dbpedia.org/resource/Aéroport_de_Cumana_~_Antonio_José_de_Sucre"
,"LFAV","XVS","50.32472222222222 3.4655555555555555","Valenciennes","France","http://fr.dbpedia.org/resource/Aérodrome_de_Valenciennes_-_Denain"
,"SVMG","PMV","10.912925 -63.967581","Porlamar","Venezuela","http://fr.dbpedia.org/resource/Aéroport_International_Del_Caribe_Santiago_Mariño"
"Maurice Bishop International Airport","TGPY","GND","12.006917 -61.785922","St. George's, Grenada","Grenada","http://fr.dbpedia.org/resource/Aéroport_de_Pointe_Salines"
"Piarco International Airport","TTPP","POS","10.595315 -61.337407","Port of Spain","Trinidad and Tobago","http://fr.dbpedia.org/resource/Aéroport_de_Piarco"
"Tunoshna Airport","UUDL","IAR","57.560667 40.157369","Yaroslavl",,"http://fr.dbpedia.org/resource/Aéroport_Tounochna"
"Kazan International Airport","UWKD","KZN","55.606667 49.281667","Kazan","Russia","http://fr.dbpedia.org/resource/Aéroport_international_de_Kazan"
"Rivière-du-Loup Airport","CYRI","YRI","47.763714 -69.584709","Rivière-du-Loup",,"http://fr.dbpedia.org/resource/Aéroport_de_Rivière-du-Loup"
"Al Maktoum International Airport","OMDW","DWC","24.886111 55.172222","Dubai Municipality","United Arab Emirates","http://fr.dbpedia.org/resource/Aéroport_international_Al_Maktoum"
"King Khalid International Airport","OERK","RUH","24.957778 46.698889","Riyadh",,"http://fr.dbpedia.org/resource/Aéroport_international_du_roi_Khaled"
"Alert Airport","CYLT","YLT","82.517778 -62.280556","Alert, Nunavut","Canada","http://fr.dbpedia.org/resource/Aéroport_d'Alert"
"Prince Mohammad Bin Abdulaziz Airport","OEMA","MED","24.553333 39.705","Medina",,"http://fr.dbpedia.org/resource/Aéroport_international_Prince_Mohammad_Bin_Abdulaziz"
"Tingwall Airport","EGET","LWK","60.191944 -1.243611","Shetland",,"http://fr.dbpedia.org/resource/Aéroport_de_Tingwall"
"Scatsta Airport","EGPM","SCS","60.432778 -1.296111","Shetland",,"http://fr.dbpedia.org/resource/Aéroport_de_Scatsta"
"London Southend Airport","EGMC","SEN","51.571389 0.695556","London","United Kingdom","http://fr.dbpedia.org/resource/Aéroport_de_Londres_Southend"
,"LFDB","XMW","44.026666666666664 1.3769444444444445","Montauban","France","http://fr.dbpedia.org/resource/Aérodrome_de_Montauban"
"Savannakhet Airport","VLSK","ZVK","16.556666666666665 104.0","Savannakhet","Laos","http://fr.dbpedia.org/resource/Aéroport_de_Savannakhet"
"Rapid City Regional Airport","KRAP","RAP","44.045278 -103.057222",,"United States","http://fr.dbpedia.org/resource/Aéroport_régional_de_Rapid_City"
"Chengdu Shuangliu International Airport","ZUUU","CTU","30.578333 103.946944","Chengdu",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Chengdu-Shuangliu"
"Shishmaref Airport","PASH","SHH","66.249444 -166.089444","Shishmaref, Alaska","United States","http://fr.dbpedia.org/resource/Aéroport_de_Shishmaref"
"Seychelles International Airport","FSIA","SEZ","-4.674333333333333 55.521861111111114","Victoria, Seychelles","Seychelles","http://fr.dbpedia.org/resource/Aéroport_international_des_Seychelles"
"Skopje ""Alexander the Great"" Airport","LWSK","SKP","41.961111 21.626944","Skopje",,"http://fr.dbpedia.org/resource/Aéroport_Alexandre_le_Grand_de_Skopje"
"Ohrid ""St. Paul the Apostle"" Airport","LWOH","OHD","41.18 20.742222","Ohrid",,"http://fr.dbpedia.org/resource/Aéroport_Saint-Paul_l'Apôtre_d'Ohrid"
"Casablanca-Anfa Airport","GMMC","CAS","33.556944 -7.660556","Casablanca","Morocco","http://fr.dbpedia.org/resource/Aéroport_de_Casablanca-Anfa"
"Kemi-Tornio Airport","EFKE","KEM","65.779167 24.584722","Kemi",,"http://fr.dbpedia.org/resource/Aéroport_de_Kemi-Tornio"
"Hanimaadhoo Airport","VRMH","HAQ","6.744167 73.170278",,,"http://fr.dbpedia.org/resource/Aéroport_d'Hanimaadhoo"
"Sharjah International Airport","OMSJ","SHJ","25.328611 55.517222","Sharjah (city)","United Arab Emirates","http://fr.dbpedia.org/resource/Aéroport_international_de_Charjah"
"Van Nuys Airport","KVNY","VNY","34.209722 -118.49","Los Angeles","United States","http://fr.dbpedia.org/resource/Aéroport_de_Van_Nuys"
"Abha Regional Airport","OEAB","AHB","18.240367 42.656625","Abha","Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_régional_d'Abha"
,"OEGS","ELQ","26.302778 43.773889","Buraidah","Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_régional_de_Qassim"
,"OEGN","GIZ","16.901111 42.585833","Jizan","Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_régional_de_Jizan"
,"OETB","TUU","28.365556 36.618889","Tabuk, Saudi Arabia","Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_régional_de_Tabuk"
,"OETF","TIF","21.4834 40.541522","Ta’if","Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_régional_de_Ta'if"
"Al-Ahsa Domestic Airport","OEAH","HOF","25.285306 49.485189",,"Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_d'Al-Ahsa"
"Al-Jawf Domestic Airport","OESK","AJF","29.470648 40.060002","Al Jawf, Libya","Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_d'Al-Jawf"
"Al Wajh Domestic Airport","OEWJ","EJH","26.198611 36.476389","Tabuk, Saudi Arabia","Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_d'Al_Wajh"
"Al Wajh Domestic Airport","OEWJ","EJH","26.198611 36.476389","Al Wajh","Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_d'Al_Wajh"
"Arar Domestic Airport","OERR","RAE","30.906589 41.138217","Arar (city)","Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_d'Arar"
"Bisha Domestic Airport","OEBH","BHH","19.984444 42.620833",,"Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_de_Bisha"
,"OEGT","URY","31.411944 37.279444",,,"http://fr.dbpedia.org/resource/Aéroport_domestique_de_Gurayat"
,"OEKK","HBT","27.900833 45.528056","Hafar Al-Batin","Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_domestique_d'Hafar_Al-Batin"
,"OENG","EAM","17.611389 44.419167",,"Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_domestique_de_Najran"
,"OEPA","AQI","28.335 46.125","Hafar Al-Batin","Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_de_Qaisumah"
,"OERF","RAH","29.626389 43.490556","Rafha","Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_de_Rafha"
,"OESH","SHW","17.466944 47.121111","Sharurah","Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_domestique_de_Sharurah"
,"OETR","TUI","31.692778 38.731111","Turaif","Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_domestique_de_Turaif"
,"OEWD","WAE","20.504167 45.199444",,"Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_domestique_du_Wadi_al-Dawasir"
,"OEYN","YNB","24.144167 38.063333","Yanbu",,"http://fr.dbpedia.org/resource/Aéroport_de_Yanbu"
,"OEJB","QJB","27.038889 49.405",,"Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_de_Jubail"
"Thessaloniki International Airport","LGTS","SKG","40.51972222222222 22.970833333333335","Thessaloniki (regional unit)",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Thessalonique_«Makédonia»"
"Adam Airport","OOAD","AOM","22.497222 57.382222","Oman","Oman","http://fr.dbpedia.org/resource/Aéroport_d'Adam"
"Adam Airport","OOAD","AOM","22.497222 57.382222","Ad Dakhiliyah Governorate","Oman","http://fr.dbpedia.org/resource/Aéroport_d'Adam"
"Adam Airport","OOAD","AOM","22.497222 57.382222","Adam, Oman","Oman","http://fr.dbpedia.org/resource/Aéroport_d'Adam"
"Maradi Airport","DRRM","MFQ","13.499167 7.111389","Maradi, Niger","Niger","http://fr.dbpedia.org/resource/Aéroport_de_Maradi"
"Boundiali Airport","DIBI","BXI","9.533 -6.467","Bouna",,"http://fr.dbpedia.org/resource/Aéroport_de_Boundiali"
"Broken Hill Airport","YBHI","BHQ","-32.005556 141.470556","Broken Hill, New South Wales","Australia","http://fr.dbpedia.org/resource/Aéroport_de_Broken_Hill"
"Ignatyevo Airport","UHBB","BQS","50.425 127.413333","Blagoveshchensk",,"http://fr.dbpedia.org/resource/Aéroport_d'Ignatyevo"
"Korhogo Airport","DIKO","HGO","9.387222 -5.556667","Korhogo","Côte d'Ivoire","http://fr.dbpedia.org/resource/Aéroport_de_Korhogo"
"Nero-Mer Airport","DIGN","BBV","4.64341 -6.92396","Grand-Béréby",,"http://fr.dbpedia.org/resource/Aéroport_de_Nero-Mer"
"City of Derry Airport","EGAE","LDY","55.042778 -7.161944","Derry",,"http://fr.dbpedia.org/resource/Aéroport_de_Derry"
,"OKBK","KWI","29.226778 47.979972","Kuwait City","Kuwait City","http://fr.dbpedia.org/resource/Aéroport_international_de_Koweït"
"Aramac Airport","YAMC","AXC","-22.960278 145.254444","Aramac, Queensland",,"http://fr.dbpedia.org/resource/Aéroport_d'Aramac"
"Benalla Airport","YBLA","BLN","-36.551944 146.006667","Benalla",,"http://fr.dbpedia.org/resource/Aéroport_de_Benalla"
"Bourke Airport","YBKE","BRK","-30.039722 145.948889","Bourke, New South Wales",,"http://fr.dbpedia.org/resource/Aéroport_de_Bourke"
"RAF Honington","EGXH","BEG","52.3425 0.773056",,,"http://fr.dbpedia.org/resource/Aérodrome_d'Honington"
"Blackall Airport","YBCK","BKQ","-24.427778 145.428611","Blackall, Queensland",,"http://fr.dbpedia.org/resource/Aéroport_de_Blackall"
"Johan Adolf Pengel International Airport","SMJP","PBM","5.452831 -55.187783","Paramaribo","Suriname","http://fr.dbpedia.org/resource/Aéroport_international_Johan_Adolf_Pengel"
"Lungi International Airport","GFLL","FNA","8.616444 -13.195489","Freetown","Sierra Leone","http://fr.dbpedia.org/resource/Aéroport_international_de_Lungi"
"Cheddi Jagan International Airport","SYCJ","GEO","6.498333 -58.253889","Georgetown, Guyana",,"http://fr.dbpedia.org/resource/Aéroport_international_Cheddi_Jagan"
"Summerside Airport","CYSU","YSU","46.440556 -63.833611","Prince Edward Island","Canada","http://fr.dbpedia.org/resource/Aéroport_de_Summerside"
"Summerside Airport","CYSU","YSU","46.440556 -63.833611","Summerside, Prince Edward Island","Canada","http://fr.dbpedia.org/resource/Aéroport_de_Summerside"
"Fujairah International Airport","OMFJ","FJR","25.112222 56.323889",,"United Arab Emirates","http://fr.dbpedia.org/resource/Aéroport_international_de_Fujaïrah"
"Warsaw-Modlin Mazovia Airport","EPMO","WMI","52.45111111111111 20.651666666666667","Warsaw","Poland","http://fr.dbpedia.org/resource/Aéroport_de_Mazovie_Varsovie-Modlin"
"Amman Civil Airport","OJAM","ADJ","31.9725 35.991389","Amman","Jordan","http://fr.dbpedia.org/resource/Aéroport_civil_d'Amman"
"Billund Airport","EKBI","BLL","55.740278 9.151667","Billund Municipality","Denmark","http://fr.dbpedia.org/resource/Aéroport_de_Billund"
"Weihai Dashuibo Airport","ZSWH","WEH","37.186944 122.228889","Weihai",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Wēihǎi_Dàshuǐbó"
"Weihai Dashuibo Airport","ZSWH","WEH","37.186944 122.228889","Wendeng",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Wēihǎi_Dàshuǐbó"
"Copernicus Airport Wrocław","EPWR","WRO","51.102777777777774 16.885833333333334","Wrocław","Poland","http://fr.dbpedia.org/resource/Aéroport_Nicolas_Copernic_de_Wrocław"
"Rzeszów-Jasionka Airport","EPRZ","RZE","50.109722222222224 22.01888888888889","Rzeszów","Poland","http://fr.dbpedia.org/resource/Aéroport_de_Rzeszów"
"São Carlos Airport","SDSC","QSC","-21.875278 -47.903611","São Carlos","Brazil","http://fr.dbpedia.org/resource/Aéroport_de_São_Carlos"
"Båtsfjord Airport","ENBS","BJF","70.600278 29.692778","Båtsfjord",,"http://fr.dbpedia.org/resource/Aéroport_de_Båtsfjord"
,"LFOI","XAB","50.143055555555556 1.8325","Abbeville","France","http://fr.dbpedia.org/resource/Aérodrome_d'Abbeville"
"Wuhan Tianhe International Airport","ZHHH","WUH","30.783611 114.20805","Wuhan",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Wuhan_Tianhe"
,"LFDH","AUC","43.68694444444444 0.6","Auch","France","http://fr.dbpedia.org/resource/Aérodrome_d'Auch_-_Gers"
"Myrtle Beach International Airport","KMYR","MYR","33.679722 -78.928333","Myrtle Beach, South Carolina","United States","http://fr.dbpedia.org/resource/Aéroport_international_de_Myrtle_Beach"
"Palma de Mallorca Airport","LEPA","PMI","39.551667 2.738889",,,"http://fr.dbpedia.org/resource/Aéroport_de_Palma_de_Majorque"
,"SOOM","LDX","5.482504 -54.03373","Cayenne",,"http://fr.dbpedia.org/resource/Aérodrome_de_Saint-Laurent-du-Maroni"
,"TJSJ","SJU","18.439167 -66.001944","San Juan, Puerto Rico","Puerto Rico","http://fr.dbpedia.org/resource/Aéroport_international_Luis-Muñoz-Marín"
"Yangyang International Airport","RKNY","YNY","38.061878 128.668098","Sokcho","South Korea","http://fr.dbpedia.org/resource/Aéroport_international_de_Yangyang"
"Yangyang International Airport","RKNY","YNY","38.061878 128.668098","Gangneung","South Korea","http://fr.dbpedia.org/resource/Aéroport_international_de_Yangyang"
"Barra Airport (Brazil)","SNBX","BQQ","-11.080833 -43.1475","Barra (Bahia)",,"http://fr.dbpedia.org/resource/Aéroport_de_Barra_(Brésil)"
"Badajoz Airport","LEBZ","BJZ","38.891389 -6.821389","Badajoz",,"http://fr.dbpedia.org/resource/Aéroport_de_Badajoz"
,"GCTS","TFS","28.044444 -16.5725","Granadilla de Abona",,"http://fr.dbpedia.org/resource/Aéroport_de_Ténérife_Sud"
,"LFRE","LBY","47.288333333333334 -2.3469444444444445","La Baule-Escoublac","France","http://fr.dbpedia.org/resource/Aérodrome_de_La_Baule-Escoublac"
,"LFRE","LBY","47.288333333333334 -2.3469444444444445","Le Pouliguen","France","http://fr.dbpedia.org/resource/Aérodrome_de_La_Baule-Escoublac"
,"LFRE","LBY","47.288333333333334 -2.3469444444444445","Pornichet","France","http://fr.dbpedia.org/resource/Aérodrome_de_La_Baule-Escoublac"
"Xiamen Gaoqi International Airport","ZSAM","XMN","24.543889 118.1275","Xiamen",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Xiàmén_Gāoqí"
"Fertilia Airport","LIEA","AHO","40.63111 8.28861","Alghero",,"http://fr.dbpedia.org/resource/Aéroport_d'Alghero-Fertilia"
"Ancona Airport","LIPY","AOI","43.3658 13.2145","Falconara Marittima","Italy","http://fr.dbpedia.org/resource/Aéroport_d'Ancône-Falconara"
"Ancona Airport","LIPY","AOI","43.3658 13.2145","Ancona","Italy","http://fr.dbpedia.org/resource/Aéroport_d'Ancône-Falconara"
"Olbia – Costa Smeralda Airport","LIEO","OLB","40.539 9.311","Olbia",,"http://fr.dbpedia.org/resource/Aéroport_d'Olbia"
"Trapani-Birgi Airport","LICT","TPS","37.5443 13.0","Trapani",,"http://fr.dbpedia.org/resource/Aéroport_de_Trapani"
"Treviso Airport","LIPH","TSF","45.3803 12.1152","Treviso",,"http://fr.dbpedia.org/resource/Aéroport_de_Trévise"
,"LFCH","XAC","44.596944444444446 -1.113888888888889","Arcachon","France","http://fr.dbpedia.org/resource/Aérodrome_d'Arcachon_-_La_Teste-de-Buch"
,"LGKO","KGS","36.7933333 27.0916667","Kos","Greece","http://fr.dbpedia.org/resource/Aéroport_international_de_l'île_de_Cos"
,"LKTB","BRQ","49.1920506 16.6131909","Brno",,"http://fr.dbpedia.org/resource/Aéroport_de_Brno"
,"LERL","CQM","38.856389 -3.97",,"Spain","http://fr.dbpedia.org/resource/Aéroport_Central-Ciudad_Real"
