"name","icao","iata","coordinates","cityName","countryName","airport"
"Nuuk Airport","BGGH","GOH","64.190833 -51.678056","Nuuk","Greenland","http://fr.dbpedia.org/resource/Aéroport_de_Nuuk"
"Siem Reap International Airport","VDSR","REP","13.410744 103.812733","Siem Reap","Cambodia","http://fr.dbpedia.org/resource/Aéroport_international_de_Siem_Reap-Angkor"
"Aosta Airport","LIMW","AOT","45.738747 7.367685","Saint-Christophe, Aosta Valley",,"http://fr.dbpedia.org/resource/Aéroport_de_la_Vallée_d'Aoste"
,"KMCW","MCW","43.157776 -93.33139","Mason City, Iowa","United States","http://fr.dbpedia.org/resource/Aéroport_municipal_de_Mason_City"
"Jorge Chávez International Airport","SPIM","LIM","-12.021944 -77.114444","Lima","Peru","http://fr.dbpedia.org/resource/Aéroport_international_Jorge_Chávez"
"Minsk International Airport","UMMS","MSQ","53.882551 28.032496","Minsk","Belarus","http://fr.dbpedia.org/resource/Aéroport_international_de_Minsk"
"Macau International Airport","VMMC","MFM","22.150444 113.591509","Macau",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Macao"
"Aranuka Airport","NGUK","AAK","0.185278 173.636389","Buariki",,"http://fr.dbpedia.org/resource/Aéroport_d'Aranuka"
"Mala Mala Airport","FAMD","AAM","-24.817978 31.544709","Mala Mala reserve","South Africa","http://fr.dbpedia.org/resource/Aéroport_de_Mala_Mala"
,"FADN","DUR","-29.968357 30.9478","Durban","South Africa","http://fr.dbpedia.org/resource/Aéroport_international_de_Durban"
,"HSSS","KRT","15.590012 32.553005","Khartoum","Sudan","http://fr.dbpedia.org/resource/Aéroport_international_de_Khartoum"
"Carrasco International Airport","SUMU","MVD","-34.838333 -56.030833","Montevideo","Uruguay","http://fr.dbpedia.org/resource/Aéroport_international_de_Carrasco"
